,Feature,OLS_Coef,P_Value,VIF
40,"(Interaction) Value_Pollutant: 1,3-butadiene_x_(Socioeconomic) Flag - the percentage of civilian unemployed is in the 90th percentile (1 = yes, 0 = no) 2018 DESCRIPTION [F_UNEMP]",233.38172114336112,0.09526132153300375,2.3053059159659735
131,SF_93,112.83844650846056,7.267419352886727e-09,1.9050235588923814
106,SF_14,-111.04384625564043,0.007252301349447871,3.749008092927642
109,SF_21,-110.91780563033414,0.00016974065914055514,3.7551908421579148
111,SF_24,76.4676511303506,0.00010846388069338934,3.4960874177353105
104,SF_7,73.63223726718529,0.1503381803470836,4.517389999059359
41,"(Interaction) Value_Pollutant: 1,3-butadiene_x_(Socioeconomic) Flag - the percentage of persons in poverty is in the 90th percentile (1 = yes, 0 = no) [F_POV]",68.48151864250656,0.6835125194320717,2.590543136860446
117,SF_39,-66.17192419178343,0.014468419774404854,2.521722459353194
153,SF_174,-65.8984901416782,0.0018239772453993277,2.016069025010522
129,SF_90,64.10328075928147,0.002531423620531693,2.0681638146153447
118,SF_42,-62.16714402883869,0.002203786612028136,1.897082331561267
179,SF_271,-60.151309503322125,0.00045382330391198483,1.6205376764461086
186,SF_291,-55.22984199518031,0.0016949907208422899,1.572022280255922
223,SF_457,55.06129478078476,0.0042800903304409015,1.5842219441068768
174,SF_250,54.61552922572936,0.0064438512255739775,1.7003726499992498
105,SF_9,54.23043140533963,0.051504373450746536,2.75540022031399
220,SF_451,-53.17477453575046,0.002660862998236182,1.4232667967041335
237,SF_513,-52.04633748160108,0.0023697917618350607,1.4383951805076514
298,SF_773,51.86841731837296,0.00226697869435566,1.2993946147053426
176,SF_260,-50.81927935792989,0.0034223334011981165,1.6084905988105314
166,SF_224,-50.178475589325984,0.012956766399830021,1.8413292527397207
142,SF_143,50.067857289622125,0.019746650064562412,1.9606127771495039
280,SF_686,-47.56050279882963,0.010605540990037163,1.420066447955868
130,SF_92,-47.25225011783331,0.02683091726562802,2.2404304194542357
119,SF_43,-46.11807809831152,0.0678896020113931,2.7338960479639622
284,SF_710,-45.75200852879405,0.00705856651474975,1.2857781566175708
108,SF_20,45.6137159366644,0.24003688308524562,3.874110259359556
261,SF_598,43.54975729391166,0.011759614055624902,1.4241622573313943
114,SF_34,42.76495936644335,0.10244105180366171,3.7753513266197416
288,SF_736,42.439648205929515,0.010356737180025055,1.265646016243708
139,SF_129,41.79557698591497,0.03772287327917476,1.7723967419095823
180,SF_273,41.74648889773292,0.010227323555240966,1.4358213431898768
258,SF_589,41.482871888463706,0.013909758736143472,1.4293397925705829
125,SF_77,40.98724397131906,0.06617124979315106,2.3923161155195136
159,SF_205,40.862845134442736,0.024413022580765335,1.6221861269159263
222,SF_456,40.13453572354446,0.048511271041799746,1.6514335536222937
157,SF_187,39.883657265230916,0.04095523305391114,1.7357282288045834
138,SF_126,-39.00574790247778,0.08656706861022483,2.006800761268705
217,SF_437,-38.94273280838652,0.03239470564472961,1.5571279007330607
112,SF_29,-38.50081333833715,0.13443994511928475,2.7215423166694164
255,SF_580,-38.2877247634584,0.0327799276233938,1.4738743337238387
289,SF_738,37.64726169926793,0.020730700193809615,1.3308797386050149
134,SF_107,37.07110665428853,0.07027589065073091,1.8581413056458347
251,SF_575,-36.938044328712955,0.015248118727116384,1.320763119427967
141,SF_142,-36.50875315737997,0.04160414525728828,1.7370540732495332
148,SF_164,-35.62546670215978,0.06865454623084018,1.6662378449299746
230,SF_478,-35.382866324699535,0.01748298273598135,1.3735195079544402
282,SF_701,-34.7351145141894,0.024950028818746275,1.2372715632649411
221,SF_452,34.29810528116492,0.07737833185016896,1.6555559504780624
214,SF_422,33.66677075053621,0.04984973693878608,1.5491203827697215
151,SF_168,-33.59682084589609,0.10423647399261342,1.7484804268582879
238,SF_521,-33.344413684057734,0.0498877910971166,1.4917572693824757
271,SF_628,32.56242669266962,0.0805450255112264,1.5205403630109342
182,SF_283,32.55914665231643,0.05840510777083897,1.628894126631177
226,SF_464,-32.5482191755529,0.06512023447974727,1.5442289135755203
116,SF_37,32.247198100212024,0.15003340548560629,2.638585460489044
293,SF_752,-32.165684934762524,0.044259657712877425,1.300960620559282
218,SF_444,-32.12464864219737,0.09046583047761213,1.4437582242056635
173,SF_248,-31.33344292767757,0.08810210571044981,1.6347344966033415
154,SF_181,31.315079433616653,0.10661336924528407,1.68723500142975
246,SF_559,30.619171518395472,0.07989528501680172,1.4393287582850756
259,SF_594,-30.470324939934045,0.05155914179293655,1.3648184443372509
